take down <i>(phrase)</i>	to write down information, especially something said aloud<br><br>e.g.<br>• Let me take down your phone number.<br>• The officer took down every detail of the witness's statement.<br><br>syn: note down, write down, record	phrase communication
mesh <i>(noun)</i>	material made of a net of wire or thread with small open spaces between<br><br>e.g.<br>• The window has a fine mesh to keep insects out.<br>• The bag is made of a light nylon mesh.<br><br>syn: net, netting	noun daily
engulf <i>(verb)</i>	to surround or cover someone or something completely<br><br>e.g.<br>• Flames quickly engulfed the building.<br>• She was engulfed by a wave of sadness.<br><br>syn: overwhelm, swallow up, submerge	verb nature
in no time <i>(idiom)</i>	very quickly; in a very short while<br><br>e.g.<br>• Don't worry, we'll be there in no time.<br>• With the new tool, the job was done in no time.<br><br>syn: very soon, quickly, in a flash	idiom daily
brigade <i>(noun)</i>	a large group of soldiers; also an organized group of people working together<br><br>e.g.<br>• The fire brigade arrived within minutes.<br>• An army brigade was sent to the border.<br><br>syn: unit, team, squad	noun daily
assist <i>(verb)</i>	to help someone do something<br><br>e.g.<br>• A nurse assisted the doctor during surgery.<br>• Can you assist me with this report?<br><br>syn: help, aid, support	verb daily
pearl <i>(noun)</i>	a small, hard, shiny white ball formed inside an oyster, used as a jewel<br><br>e.g.<br>• She wore a necklace of white pearls.<br>• Pearls form when sand gets inside an oyster's shell.	noun daily
facade <i>(noun)</i>	the front of a building; also a false outward appearance hiding the truth<br><br>e.g.<br>• The hotel has a beautiful stone facade.<br>• Behind his calm facade, he was very nervous.<br><br>syn: front, exterior, appearance	noun daily
inflated <i>(adjective)</i>	filled with air; or (of prices/figures) made higher than is reasonable; exaggerated<br><br>e.g.<br>• The prices here are really inflated.<br>• He gave an inflated account of his own role.<br><br>syn: exaggerated, overblown	adjective business
contractor <i>(noun)</i>	a person or company hired to do work, especially building work<br><br>e.g.<br>• We hired a contractor to build the garage.<br>• The contractor finished the project ahead of schedule.<br><br>syn: builder	noun business
exterior <i>(noun)</i>	the outside of something, especially a building<br><br>e.g.<br>• They painted the exterior of the house white.<br>• The car's exterior was scratched.<br><br>syn: outside, facade	noun daily
intangible <i>(adjective)</i>	not able to be touched or measured; hard to define<br><br>e.g.<br>• Trust is intangible but very valuable.<br>• The brand's reputation is an intangible asset.<br><br>syn: abstract	adjective business
erect <i>(verb)</i>	to build or put up a structure<br><br>e.g.<br>• Workers are erecting a new bridge.<br>• They erected a tent in the field.<br><br>syn: build, construct, put up	verb daily
wage <i>(noun)</i>	money paid to a worker, usually by the hour or week<br><br>e.g.<br>• The average wage in this city is quite high.<br>• Workers demanded higher wages.<br><br>syn: pay, salary, earnings	noun business
flammable <i>(adjective)</i>	easily set on fire<br><br>e.g.<br>• Keep flammable liquids away from the stove.<br>• The label warns that the gas is highly flammable.<br><br>syn: inflammable, combustible	adjective daily
face it out <i>(idiom)</i>	to bravely deal with a difficult situation instead of avoiding it<br><br>e.g.<br>• He decided to stay and face it out.<br>• Rather than run away, she faced it out.<br><br>syn: brave it out, tough it out	idiom emotion
phase out <i>(phrase)</i>	to stop using or producing something gradually, in stages<br><br>e.g.<br>• The company will phase out the old model next year.<br>• They are phasing out plastic bags.<br><br>syn: discontinue, wind down	phrase business
distinctive <i>(adjective)</i>	having a special quality that makes something easy to recognize<br><br>e.g.<br>• The bird has a distinctive red head.<br>• Her voice is very distinctive.<br><br>syn: unique, characteristic	adjective daily
break off <i>(phrase)</i>	to suddenly stop something; or to separate a piece by breaking<br><br>e.g.<br>• She broke off in the middle of her sentence.<br>• He broke off a piece of chocolate.<br><br>syn: stop, discontinue, snap off	phrase communication
infamous <i>(adjective)</i>	well known for something bad<br><br>e.g.<br>• The area is infamous for crime.<br>• He is an infamous criminal.<br><br>syn: notorious	adjective daily
sensible <i>(adjective)</i>	reasonable and showing good judgment<br><br>e.g.<br>• That's a sensible approach to the problem.<br>• She made a sensible decision.<br><br>syn: reasonable, practical, wise	adjective daily
compliant <i>(adjective)</i>	willing to obey or agree; or meeting official rules and standards<br><br>e.g.<br>• The new car is compliant with safety rules.<br>• He was quiet and compliant, never arguing.<br><br>syn: obedient, conforming	adjective business
underway <i>(adjective)</i>	already started and in progress<br><br>e.g.<br>• The project is now underway.<br>• Preparations for the event are well underway.<br><br>syn: in progress, ongoing	adjective business
oversight <i>(noun)</i>	supervision or control; or a mistake made by not noticing something<br><br>e.g.<br>• Missing the deadline was an oversight on my part.<br>• The committee provides oversight of the budget.<br><br>syn: supervision, lapse, omission	noun business
time and time again <i>(idiom)</i>	repeatedly; many times over<br><br>e.g.<br>• I've told him time and time again to be careful.<br>• Time and time again, she proved them wrong.<br><br>syn: repeatedly, over and over, again and again	idiom communication
dedicated <i>(adjective)</i>	giving a lot of time and effort to something; or set aside for one special purpose<br><br>e.g.<br>• She's a dedicated teacher who stays late every day.<br>• This is a dedicated server for backups.<br><br>syn: committed, devoted	adjective daily
shortcoming <i>(noun)</i>	a fault or weakness; a failure to reach a good standard<br><br>e.g.<br>• Despite its shortcomings, the plan worked.<br>• He admitted his own shortcomings.<br><br>syn: weakness, flaw, defect	noun daily
in terms of <i>(phrase)</i>	with regard to a particular aspect or subject<br><br>e.g.<br>• In terms of price, this one is better.<br>• The plan is risky in terms of cost.<br><br>syn: regarding, with respect to	phrase communication
rush out <i>(phrase)</i>	to leave quickly; or to release a product hurriedly<br><br>e.g.<br>• She rushed out of the room in tears.<br>• They rushed out the new phone before testing it properly.<br><br>syn: dash out, hurry out	phrase daily
go door to door <i>(phrase)</i>	to visit each house in turn, e.g. to sell or ask for something<br><br>e.g.<br>• Volunteers went door to door asking for donations.<br>• Salesmen used to go door to door.	phrase daily
committee <i>(noun)</i>	a group of people chosen to make decisions or manage something<br><br>e.g.<br>• The committee meets every Monday.<br>• She was elected to the planning committee.<br><br>syn: board, panel	noun business
subtext <i>(noun)</i>	an underlying meaning that is not stated directly<br><br>e.g.<br>• The subtext of her message was that she was angry.<br>• There's a clear subtext of jealousy in the play.<br><br>syn: undertone, implication	noun communication
rotation <i>(noun)</i>	the act of turning; or a regular taking of turns among people or things<br><br>e.g.<br>• The Earth's rotation takes 24 hours.<br>• Nurses work in rotation, changing shifts each week.<br><br>syn: turning, cycle	noun daily
back off <i>(phrase)</i>	to move away; or to stop pressuring or interfering<br><br>e.g.<br>• Back off and give him some space.<br>• The company backed off from the deal.<br><br>syn: retreat, withdraw, ease off	phrase communication
revive <i>(verb)</i>	to bring back to life, consciousness, or activity<br><br>e.g.<br>• Doctors managed to revive the patient.<br>• They hope to revive the local economy.<br><br>syn: restore, resurrect, rejuvenate	verb daily
reach out <i>(phrase)</i>	to extend a hand; or to contact someone to offer or ask for help<br><br>e.g.<br>• Feel free to reach out if you have questions.<br>• She reached out to old friends online.<br><br>syn: contact, get in touch	phrase communication
pin down <i>(phrase)</i>	to hold firmly in place; or to define or establish something exactly<br><br>e.g.<br>• It's hard to pin down the exact cause.<br>• The wrestler pinned his opponent down.<br><br>syn: identify, establish, specify	phrase communication
readout <i>(noun)</i>	data shown by a device; or a summary report after a meeting or event<br><br>e.g.<br>• The screen gave a clear temperature readout.<br>• She sent a readout of the meeting to the team.<br><br>syn: display, summary, briefing	noun business
nail down <i>(phrase)</i>	to fix in place with nails; or to settle or define something firmly<br><br>e.g.<br>• Let's nail down the date for the meeting.<br>• We need to nail down the final price.<br><br>syn: finalize, settle, confirm	phrase business
follow-up <i>(noun)</i>	a further action or contact made after something earlier<br><br>e.g.<br>• The doctor scheduled a follow-up next week.<br>• I sent a follow-up email to remind them.<br><br>syn: follow-through	noun business
unpack <i>(verb)</i>	to take things out of a bag or box; or to analyze a complex idea in detail<br><br>e.g.<br>• Let me unpack this idea a bit more.<br>• She unpacked her suitcase as soon as she arrived.<br><br>syn: analyze, break down	verb communication
endorse <i>(verb)</i>	to publicly support or approve of someone or something<br><br>e.g.<br>• The mayor endorsed the new plan.<br>• A famous athlete endorses the brand.<br><br>syn: support, back, approve	verb business
promptly <i>(adverb)</i>	quickly without delay; or exactly on time<br><br>e.g.<br>• She replied promptly to my email.<br>• The meeting started promptly at nine.<br><br>syn: quickly, immediately, punctually	adverb daily
conducive <i>(adjective)</i>	helping to make something happen; favorable to<br><br>e.g.<br>• A quiet room is conducive to studying.<br>• The warm weather is conducive to plant growth.<br><br>syn: favorable, helpful	adjective academic
come up <i>(phrase)</i>	to be mentioned or arise; to approach; or (of an event) to be about to happen<br><br>e.g.<br>• Your name came up in the meeting.<br>• A problem has come up.<br><br>syn: arise, be raised	phrase communication
reprimand <i>(verb)</i>	to criticize someone formally and severely for a fault<br><br>e.g.<br>• The manager reprimanded him for being late.<br>• She was reprimanded for breaking the rules.<br><br>syn: rebuke, scold, tell off	verb business
cool off <i>(phrase)</i>	to become cooler; or to calm down after being angry or excited<br><br>e.g.<br>• Take a walk to cool off before you reply.<br>• Let the soup cool off a little.<br><br>syn: calm down, cool down	phrase emotion
shift back <i>(phrase)</i>	to move back to a previous position or state; to switch back<br><br>e.g.<br>• Let's shift back to the original plan.<br>• The seat shifted back when he leaned on it.<br><br>syn: move back, switch back, revert	phrase daily
